chr,start,end,annotation,geneName,transcript,distanceToTSS
chr8,108443663,108443663,promoter-TSS,EMC2,ENST00000524143.5;ENST00000220853.8;ENST00000517593.5;ENST00000517784.5;ENST00000677409.1;ENST00000677084.1;ENST00000677040.1;ENST00000678023.1;ENST00000678334.1;ENST00000677614.1;ENST00000678797.1;ENST00000679198.1;ENST00000676663.1;ENST00000678881.1;ENST00000676487.1;ENST00000677215.1;ENST00000678472.1;ENST00000677458.1;ENST00000678887.1,61;38;29;25;187;209;188;243;166;192;179;224;202;223;188;197;187;174;187
chr8,116755796,116755796,promoter-TSS,,ENST00000521861.6;ENST00000518949.5;ENST00000518995.5;ENST00000522800.5;ENST00000518034.5;ENST00000517974.1;ENST00000522453.1;ENST00000519046.5,26;11;25;32;26;26;8;26
chr8,116874789,116874789,promoter-TSS,,ENST00000687358.1;ENST00000519837.6;ENST00000522699.2;ENST00000517485.6;ENST00000297338.7;ENST00000517749.2;ENST00000520992.6;ENST00000685972.1;ENST00000687902.1;ENST00000523547.2;ENST00000686622.1;ENST00000688033.1;ENST00000689504.1;ENST00000582903.1,460;428;428;260;12;579;364;375;375;348;361;388;348;10
chr1,16048905,16048905,promoter-TSS,,ENST00000683606.1;ENST00000684624.1,54;94
chr8,123274249,123274249,promoter-TSS,ZHX1-C8orf76,ENST00000622816.2;ENST00000395571.8;ENST00000524267.5;ENST00000480132.6,34;36;251;16
chr8,124450757,124450757,promoter-TSS,TRMT12,ENST00000328599.4;ENST00000521443.1;ENST00000522518.1,62;62;159
chr8,143609525,143609525,promoter-TSS,,ENST00000495276.6;ENST00000220966.10;ENST00000447926.6;ENST00000433751.5;ENST00000482616.1,49;88;43;43;31
chr8,143829305,143829305,promoter-TSS,,ENST00000654408.1;ENST00000526683.6;ENST00000453551.6;ENST00000313352.11;ENST00000456095.6;ENST00000349157.10;ENST00000526151.6;ENST00000703846.1;ENST00000703847.1;ENST00000531951.6;ENST00000703849.1;ENST00000532127.6;ENST00000533162.2;ENST00000527744.6;ENST00000703850.1;ENST00000527197.5;ENST00000526459.6;ENST00000703852.1;ENST00000529999.5;ENST00000531897.5,212;9;278;265;1;46;28;67;263;276;28;13;32;63;9;14;32;9;260;0
chr8,144095099,144095099,promoter-TSS,CYC1,ENST00000533444.1;ENST00000318911.5;ENST00000528618.1,59;22;386
chr8,144291634,144291634,promoter-TSS,HSF1,ENST00000400780.8;ENST00000528838.6;ENST00000528988.1;ENST00000533240.5;ENST00000569669.6;ENST00000569403.1;ENST00000569712.1,42;29;28;945;195;263;266
chr8,144428546,144428546,promoter-TSS,VPS28,ENST00000377348.6;ENST00000292510.6;ENST00000533806.5;ENST00000531032.5;ENST00000526734.5;ENST00000530790.5;ENST00000524521.1,16;1;1;2;2;1;2
chr8,144462860,144462860,promoter-TSS,,ENST00000525461.1;ENST00000530374.6;ENST00000528558.1,956;10;444
chr10,5813631,5813631,promoter-TSS,,ENST00000608273.1;ENST00000380191.9;ENST00000380181.7;ENST00000456041.5;ENST00000418688.5;ENST00000609712.1,353;196;219;243;201;198
chr9,15422859,15422859,promoter-TSS,SNAPC3,ENST00000490969.5;ENST00000380821.8;ENST00000421710.5;ENST00000461041.1,9;16;19;282
chr9,19230542,19230542,promoter-TSS,,ENST00000434457.7;ENST00000602708.1,150;254
chr9,29214305,29214305,promoter-TSS,,ENST00000689379.1;ENST00000658191.1;ENST00000698399.1,5;16;703
chr9,32552340,32552340,promoter-TSS,,ENST00000692500.1;ENST00000451672.2;ENST00000644531.1;ENST00000425533.1;ENST00000635960.1,12;10;4;7;202
chr9,34179068,34179068,promoter-TSS,UBAP1,ENST00000625521.2;ENST00000379186.8;ENST00000297661.9;ENST00000626262.2,62;29;24;22
chr9,34612105,34612105,promoter-TSS,RPP25L,ENST00000297613.4;ENST00000378959.9,0;7
chr9,41358843,41358843,promoter-TSS,,ENST00000692789.2;ENST00000686353.1,17;42
chr9,69759926,69759926,promoter-TSS,PTAR1,ENST00000377200.9;ENST00000340434.5;ENST00000474925.2;ENST00000472967.2,14;84;28;32
chr10,7818521,7818521,promoter-TSS,,ENST00000687671.1;ENST00000690066.1;ENST00000685647.1;ENST00000686593.1;ENST00000692164.1;ENST00000344293.6;ENST00000692339.1;ENST00000687522.1,23;16;15;15;15;15;4;6
chr9,91361870,91361870,promoter-TSS,AUH,ENST00000303617.5;ENST00000375731.9;ENST00000478465.5,42;47;16
chr9,92878130,92878130,promoter-TSS,,ENST00000375495.8;ENST00000395505.6;ENST00000395506.7;ENST00000332591.6,91;91;91;107
chr1,16352415,16352415,promoter-TSS,SZRD1,ENST00000475078.1;ENST00000375592.8,159;64
chr9,93576810,93576810,promoter-TSS,PHF2,ENST00000610682.1,62
chr9,97237676,97237676,promoter-TSS,SUGT1P4-STRA6LP,ENST00000527128.5;ENST00000375204.2;ENST00000375206.6;ENST00000532209.1,772;806;820;968
chr9,97697290,97697290,promoter-TSS,XPA,ENST00000462523.5;ENST00000375128.5;ENST00000496104.1,2;49;4
chr1,16367074,16367074,promoter-TSS,SZRD1,ENST00000471507.5;ENST00000401089.3;ENST00000486763.5;ENST00000401088.9;ENST00000476423.5;ENST00000475554.5;ENST00000472351.5;ENST00000492354.1;ENST00000472461.1,13;150;160;167;168;168;172;190;636
chr10,11611781,11611781,promoter-TSS,,ENST00000609104.6;ENST00000606752.1,130;114
chr9,101398589,101398589,promoter-TSS,,ENST00000339664.7;ENST00000374861.7;ENST00000259395.4;ENST00000615466.1;ENST00000374865.5,261;283;438;499;28
chr9,107283292,107283292,promoter-TSS,,ENST00000358015.8;ENST00000416373.6,12;760
chr9,113056749,113056749,promoter-TSS,,ENST00000374227.8;ENST00000555206.5;ENST00000553380.1,24;9;60
chr9,120580233,120580233,promoter-TSS,,ENST00000349780.9;ENST00000360190.8;ENST00000687633.1;ENST00000687279.1;ENST00000690814.1;ENST00000693714.1;ENST00000693386.1;ENST00000693433.1;ENST00000686376.1;ENST00000690646.1;ENST00000692155.1;ENST00000473282.6;ENST00000480112.5;ENST00000685866.1;ENST00000689688.1;ENST00000416449.6;ENST00000691504.1;ENST00000360822.8;ENST00000693728.1;ENST00000690474.1;ENST00000693137.1;ENST00000481266.2;ENST00000472883.2;ENST00000491334.1,65;74;254;209;208;211;254;264;254;254;254;227;227;227;227;211;264;73;211;209;207;254;171;62
chr9,120842906,120842906,promoter-TSS,,ENST00000640391.2;ENST00000640296.2;ENST00000458394.2;ENST00000687129.1;ENST00000640066.2;ENST00000210313.8;ENST00000373904.5;ENST00000476949.1;ENST00000471789.1;ENST00000625444.1,89;135;168;178;193;15;44;4;23;2
chr9,121074977,121074977,promoter-TSS,,ENST00000687079.1;ENST00000373865.8;ENST00000691066.1;ENST00000373855.7;ENST00000689134.1;ENST00000688313.1;ENST00000688832.1;ENST00000373847.6;ENST00000687169.1;ENST00000685174.1;ENST00000689889.1;ENST00000696279.1;ENST00000697923.1;ENST00000696285.1,96;96;80;21;17;14;14;14;14;8;27;178;2;84
chr9,121201878,121201878,promoter-TSS,,ENST00000373840.9;ENST00000703997.1;ENST00000703998.1;ENST00000703999.1;ENST00000704000.1;ENST00000704001.1,8;165;153;639;189;165
chr9,124415418,124415418,promoter-TSS,,ENST00000259457.8;ENST00000498485.5;ENST00000441097.1;ENST00000466951.1,23;126;25;110
chr9,127451493,127451493,promoter-TSS,,ENST00000675224.1;ENST00000373324.8;ENST00000498513.6;ENST00000674771.1;ENST00000675572.1;ENST00000675641.1;ENST00000676170.1;ENST00000676336.1;ENST00000676349.1;ENST00000674784.1;ENST00000675789.1;ENST00000300417.11;ENST00000675448.1;ENST00000323301.8;ENST00000472068.2;ENST00000675141.1;ENST00000674516.1;ENST00000675883.1;ENST00000676014.1;ENST00000486587.2;ENST00000485704.2;ENST00000675945.1;ENST00000675657.1;ENST00000676318.1;ENST00000675253.1;ENST00000674970.1;ENST00000675213.1;ENST00000373322.1;ENST00000497825.5;ENST00000361436.10;ENST00000536368.1;ENST00000497322.1,3;11;11;11;11;11;16;16;16;16;16;16;17;19;21;21;61;128;132;173;189;189;189;189;189;189;437;761;87;86;119;87
chr9,128322498,128322498,promoter-TSS,COQ4,ENST00000609948.1;ENST00000608951.5;ENST00000300452.8;ENST00000372875.3;ENST00000372890.6;ENST00000460320.1,45;83;340;353;50;84
chr9,128371377,128371377,promoter-TSS,URM1,ENST00000470840.5;ENST00000372850.5;ENST00000372847.1;ENST00000372853.9;ENST00000483206.2,15;15;5;2;1
chr9,128657025,128657025,promoter-TSS,,ENST00000372715.7;ENST00000419989.2;ENST00000451652.5;ENST00000480613.6,177;343;325;343
chr9,128829776,128829776,promoter-TSS,,ENST00000361256.10;ENST00000466556.5,17;2
chr9,128882074,128882074,promoter-TSS,,ENST00000372600.9;ENST00000372599.7;ENST00000259324.5;ENST00000651925.1;ENST00000302586.8;ENST00000462722.5;ENST00000320665.10;ENST00000436267.7;ENST00000474824.1,58;121;427;142;123;37;144;142;128
chr9,128947665,128947665,promoter-TSS,NUP188,ENST00000372577.2;ENST00000491990.5;ENST00000550219.1;ENST00000372586.4,33;41;351;61
chr9,129081147,129081147,promoter-TSS,DOLPP1,ENST00000406974.7;ENST00000372546.9;ENST00000327812.12;ENST00000412363.1;ENST00000670830.1,35;35;12;6;381
chr9,129140113,129140113,promoter-TSS,PTPA,ENST00000432124.5;ENST00000435305.1,12;4
chr9,129803102,129803102,promoter-TSS,TOR1B,ENST00000486372.1;ENST00000259339.7;ENST00000427860.1,54;81;165
chr9,129824198,129824198,promoter-TSS,,ENST00000351698.5;ENST00000651202.1;ENST00000473604.2;ENST00000473084.1,61;45;604;93
chr9,129885824,129885824,promoter-TSS,,ENST00000688549.2,49
chr9,130053918,130053918,promoter-TSS,,ENST00000347136.11;ENST00000493417.5;ENST00000610997.1;ENST00000686230.2,11;2;6;38
chr9,130693616,130693616,promoter-TSS,,ENST00000491115.7;ENST00000686102.1;ENST00000495699.3;ENST00000685137.1;ENST00000691284.1;ENST00000688967.1;ENST00000691926.1;ENST00000691104.1;ENST00000693435.1;ENST00000692554.1;ENST00000691162.1;ENST00000490641.5;ENST00000687051.1;ENST00000691425.1;ENST00000693011.1;ENST00000693610.1;ENST00000687420.1;ENST00000372352.7;ENST00000546165.6;ENST00000372358.10;ENST00000688258.1;ENST00000686106.1;ENST00000688350.1;ENST00000689890.1;ENST00000692794.1;ENST00000372351.7;ENST00000372350.7;ENST00000685277.1;ENST00000463488.1,104;139;148;148;148;152;154;154;158;163;163;163;163;163;163;163;163;163;163;163;163;164;164;164;164;169;170;175;189
chr9,132079887,132079887,promoter-TSS,,ENST00000651950.1;ENST00000357028.6;ENST00000292035.10;ENST00000651555.1;ENST00000650776.1;ENST00000444872.3;ENST00000474263.1,27;20;19;30;21;241;20
chr9,132944601,132944601,promoter-TSS,GFI1B,ENST00000631293.1;ENST00000339463.7;ENST00000298552.9;ENST00000642627.1;ENST00000646625.1;ENST00000643875.1;ENST00000645901.1;ENST00000642811.1;ENST00000647279.1;ENST00000642617.1;ENST00000643583.1;ENST00000644255.1;ENST00000646391.1;ENST00000643072.1;ENST00000647506.1;ENST00000642344.1;ENST00000642745.1;ENST00000642646.1;ENST00000645150.1;ENST00000647462.1;ENST00000644997.1;ENST00000645129.1;ENST00000403810.6;ENST00000642854.1;ENST00000643691.1;ENST00000475903.6;ENST00000645904.1;ENST00000490179.3;ENST00000646788.1;ENST00000646831.1;ENST00000645346.1,931;949;14;17;31;15;29;17;6;21;13;24;31;14;25;28;14;25;31;14;28;31;31;92;31;17;14;10;42;14;47
chr10,14878886,14878886,promoter-TSS,SUV39H2,ENST00000378331.5;ENST00000433779.5;ENST00000378325.7;ENST00000354919.11;ENST00000313519.9;ENST00000420416.1;ENST00000412254.1;ENST00000609399.2,65;37;22;19;13;35;929;158
chr9,135907116,135907116,promoter-TSS,,ENST00000423793.1,695
chr9,136245796,136245796,promoter-TSS,,ENST00000358701.10,15
chr9,136363776,136363776,promoter-TSS,DNLZ,ENST00000371739.3;ENST00000371738.4,56;31
chr9,136410677,136410677,promoter-TSS,,ENST00000706227.1;ENST00000706375.1;ENST00000706228.1;ENST00000706376.1;ENST00000444897.3;ENST00000706377.1;ENST00000706378.1;ENST00000612553.5;ENST00000619192.4;ENST00000706379.1;ENST00000706380.1;ENST00000706381.1;ENST00000706382.1;ENST00000706383.1;ENST00000706384.1;ENST00000706385.1;ENST00000706386.1;ENST00000706387.1;ENST00000706388.1;ENST00000706389.1;ENST00000620412.4;ENST00000371720.5;ENST00000371717.8;ENST00000622209.4;ENST00000399219.7;ENST00000706390.1;ENST00000614402.4;ENST00000610649.4;ENST00000357365.8;ENST00000298537.11;ENST00000371725.7;ENST00000371723.4;ENST00000446833.1,46;46;46;38;38;35;35;35;32;32;32;32;32;32;32;32;32;32;32;22;18;18;18;16;15;7;2;440;62;67;76;83;408
chr9,136483045,136483045,promoter-TSS,C9orf163,ENST00000354376.3;ENST00000624034.1;ENST00000684901.1;ENST00000690691.1,449;449;4;4
chr9,136807957,136807957,promoter-TSS,RABL6,ENST00000371671.9;ENST00000311502.12;ENST00000484471.6;ENST00000371663.10;ENST00000357466.6,13;8;3;9;201
chrX,13689134,13689134,promoter-TSS,,ENST00000464506.2;ENST00000243325.6;ENST00000618931.2,5;26;51
chrX,18354671,18354671,promoter-TSS,,ENST00000251900.9,16
chrX,20267030,20267030,promoter-TSS,,ENST00000379565.9;ENST00000643085.1;ENST00000645270.1;ENST00000644368.1;ENST00000645268.1;ENST00000646610.1;ENST00000642835.1;ENST00000644893.1;ENST00000438357.2,120;423;402;370;63;69;58;35;929
chrX,24054941,24054941,promoter-TSS,EIF2S3,ENST00000487075.1;ENST00000253039.9;ENST00000423068.1,4;14;29
chrX,24150250,24150250,promoter-TSS,ZFX-AS1,ENST00000427551.1,595
chrX,44873624,44873624,promoter-TSS,,ENST00000621147.5;ENST00000684352.1;ENST00000682908.1;ENST00000683021.1;ENST00000475233.1;ENST00000675157.1;ENST00000676389.1;ENST00000675182.1,71;71;71;71;90;173;179;254
chrX,46447134,46447134,promoter-TSS,KRBOX4,ENST00000298190.10;ENST00000377919.6;ENST00000464900.5;ENST00000476762.5;ENST00000344302.9;ENST00000478600.5,157;159;162;162;162;162
chrX,47145257,47145257,promoter-TSS,,ENST00000377604.8;ENST00000345781.10;ENST00000628161.2;ENST00000329236.8;ENST00000690204.1;ENST00000690053.1;ENST00000377811.4;ENST00000692649.1;ENST00000276062.9;ENST00000685599.1;ENST00000688286.1,35;21;21;189;878;568;554;549;546;996;554
chrX,47193809,47193809,promoter-TSS,UBA1,ENST00000442035.5;ENST00000335972.11;ENST00000457753.5,19;19;27
chrX,47482702,47482702,promoter-TSS,LINC01560,ENST00000624822.1;ENST00000357412.2;ENST00000313116.11,868;868;116
chrX,47561214,47561214,promoter-TSS,,ENST00000377045.9;ENST00000377039.2,8;7
chrX,47836766,47836766,promoter-TSS,,ENST00000338637.13;ENST00000376954.6;ENST00000334937.8;ENST00000376950.4,135;135;179;203
chrX,48696775,48696775,promoter-TSS,,ENST00000376687.4,40
chrX,48911631,48911631,promoter-TSS,SLC35A2,ENST00000635285.1;ENST00000247138.11;ENST00000635460.1;ENST00000376529.8;ENST00000635628.1;ENST00000445167.7;ENST00000635589.1;ENST00000616181.5;ENST00000452555.7;ENST00000635238.1;ENST00000634665.1;ENST00000635015.1;ENST00000376512.2;ENST00000634461.1,19;14;2;14;14;37;14;14;14;14;14;14;45;37
chrX,51743423,51743423,promoter-TSS,,ENST00000340438.6,18
chrX,53225185,53225185,promoter-TSS,,ENST00000687695.1;ENST00000685641.1;ENST00000685423.1;ENST00000693277.1;ENST00000688699.1;ENST00000375401.8;ENST00000404049.7;ENST00000691505.1;ENST00000465402.2;ENST00000687928.1;ENST00000685539.1;ENST00000429877.5;ENST00000428012.1;ENST00000349663.6,37;38;295;383;22;21;8;7;37;25;47;22;8;12
chrX,53434332,53434332,promoter-TSS,HSD17B10,ENST00000375304.9;ENST00000684692.1;ENST00000168216.11;ENST00000375298.4;ENST00000682365.1;ENST00000495986.2,23;34;37;17;37;15
chrX,54183498,54183498,promoter-TSS,,ENST00000375180.7;ENST00000328235.4;ENST00000497680.1;ENST00000477084.1,243;242;719;216
chrX,56729289,56729289,promoter-TSS,NBDY,ENST00000637096.1;ENST00000374922.9;ENST00000423617.2;ENST00000451583.1,47;45;64;83
chrX,71533028,71533028,promoter-TSS,,ENST00000699779.1;ENST00000699780.1;ENST00000699781.1;ENST00000699782.1;ENST00000488174.5;ENST00000373719.8;ENST00000699749.1;ENST00000699783.1;ENST00000699750.1;ENST00000699784.1;ENST00000699785.1;ENST00000373701.7;ENST00000472270.1;ENST00000498566.3,58;72;72;72;75;75;79;80;80;86;86;94;99;271
chrX,73563300,73563300,promoter-TSS,CHIC1,ENST00000498407.5;ENST00000498318.1;ENST00000602584.1,17;151;214
chrX,73944352,73944352,promoter-TSS,,ENST00000660840.1;ENST00000667886.1;ENST00000669168.1;ENST00000656624.1;ENST00000659254.1;ENST00000657910.1;ENST00000662120.1;ENST00000671207.1;ENST00000670506.1;ENST00000657179.1;ENST00000666493.1;ENST00000667573.1;ENST00000660856.1;ENST00000668590.1;ENST00000660836.1;ENST00000654137.1;ENST00000414209.6;ENST00000658649.1;ENST00000670994.1;ENST00000653479.1;ENST00000602772.5;ENST00000614715.1;ENST00000667645.1;ENST00000655879.1;ENST00000602895.6;ENST00000654995.1;ENST00000663027.1;ENST00000670503.1;ENST00000670685.1;ENST00000602985.6;ENST00000657096.1;ENST00000657372.1;ENST00000602737.6;ENST00000602938.6;ENST00000662543.1;ENST00000661546.1;ENST00000665345.1;ENST00000670192.1;ENST00000670464.1;ENST00000667057.1;ENST00000671476.1;ENST00000671336.1;ENST00000665032.1;ENST00000660087.1;ENST00000654374.1;ENST00000698366.1;ENST00000653808.1;ENST00000657638.1;ENST00000653069.1;ENST00000656263.1;ENST00000655994.1;ENST00000659373.1;ENST00000662239.1;ENST00000670805.1;ENST00000654196.1;ENST00000661130.1;ENST00000659849.1;ENST00000667937.1;ENST00000671021.1;ENST00000602920.6;ENST00000663470.1;ENST00000667294.1;ENST00000602294.6;ENST00000656509.1;ENST00000659852.1;ENST00000669149.1;ENST00000654005.1;ENST00000664295.1;ENST00000453317.1;ENST00000664328.1;ENST00000602546.5;ENST00000659023.1;ENST00000653885.1;ENST00000653929.1;ENST00000659622.1;ENST00000415215.1;ENST00000671518.1;ENST00000670408.1;ENST00000614161.1,40;40;34;34;34;34;34;34;34;34;33;33;29;27;27;26;26;26;25;24;23;19;18;18;12;12;12;12;12;12;12;12;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;5;5;5;5;5;0;14;20;230;242
chrX,74292328,74292328,promoter-TSS,FTX,ENST00000603672.5;ENST00000652527.1;ENST00000701585.1;ENST00000670936.1;ENST00000658203.1;ENST00000691187.2;ENST00000701244.1;ENST00000652540.1;ENST00000652013.2;ENST00000657070.1;ENST00000665069.1;ENST00000666535.1;ENST00000693483.1;ENST00000657327.1;ENST00000659407.1;ENST00000671067.1;ENST00000660829.1;ENST00000671385.1;ENST00000418855.6;ENST00000660224.1;ENST00000668224.1;ENST00000659012.1;ENST00000455395.6;ENST00000659390.1;ENST00000685808.1,13;252;22;49;29;30;22;30;248;22;22;300;16;34;452;49;248;20;30;22;44;263;252;22;252
chrX,74614811,74614811,promoter-TSS,,ENST00000332687.11;ENST00000349225.2,186;193
chrX,75156254,75156254,promoter-TSS,,ENST00000652605.1;ENST00000253577.9;ENST00000373394.8;ENST00000666534.1;ENST00000669573.1;ENST00000644766.1;ENST00000339447.8;ENST00000645829.3;ENST00000620875.5;ENST00000663420.1;ENST00000529949.5;ENST00000669388.1;ENST00000534524.5;ENST00000643632.1,133;28;28;231;24;31;24;27;17;189;27;120;31;27
chrX,76173131,76173131,promoter-TSS,PBDC1,ENST00000373357.3;ENST00000373358.8,90;68
chrX,77786210,77786210,promoter-TSS,,ENST00000373344.11;ENST00000395603.7;ENST00000480283.5;ENST00000624166.3;ENST00000624032.3;ENST00000623321.3;ENST00000624668.3;ENST00000622960.1;ENST00000624193.1,5;5;5;9;1;14;1;22;5
chrX,77895388,77895388,promoter-TSS,,ENST00000618282.5;ENST00000692161.1;ENST00000685015.1;ENST00000688650.1;ENST00000691172.1;ENST00000689519.1;ENST00000685353.1;ENST00000685002.1;ENST00000476168.1;ENST00000373336.3,46;59;48;48;42;48;48;48;35;51
chrX,78139613,78139613,promoter-TSS,,ENST00000341864.6;ENST00000480681.1,36;8
chrX,85003928,85003928,promoter-TSS,,ENST00000373173.7,50
chrX,86047509,86047509,promoter-TSS,,ENST00000357749.7;ENST00000467744.2;ENST00000615443.1;ENST00000483950.1,48;203;29;51
chrX,101418290,101418290,promoter-TSS,,ENST00000433011.6;ENST00000430461.5;ENST00000453574.1;ENST00000431677.1,2;7;8;491
chrX,107000248,107000248,promoter-TSS,,ENST00000355610.9;ENST00000255495.7,35;169
chrX,107628519,107628519,promoter-TSS,,ENST00000675304.1;ENST00000643795.2;ENST00000645638.1;ENST00000372418.4;ENST00000646815.1;ENST00000644642.1;ENST00000372435.10;ENST00000674826.1;ENST00000372419.3;ENST00000645903.1;ENST00000674525.1;ENST00000676092.1;ENST00000674843.1,90;90;33;28;8;8;8;2;10;15;24;91;109
chrX,110318067,110318067,promoter-TSS,,ENST00000262844.10;ENST00000686065.1;ENST00000372059.6;ENST00000473662.1;ENST00000496695.1,17;17;16;295;310
chrX,119236379,119236379,promoter-TSS,,ENST00000217971.8,93
chrX,119853217,119853217,promoter-TSS,,ENST00000276201.7;ENST00000345865.6,253;218
chrX,123733026,123733026,promoter-TSS,,ENST00000245838.13;ENST00000355725.8;ENST00000433883.1,25;29;10
chrX,123859899,123859899,promoter-TSS,XIAP,ENST00000497906.5;ENST00000468691.5;ENST00000430625.1;ENST00000371199.8;ENST00000497640.1;ENST00000355640.3;ENST00000468503.1,71;21;20;153;295;372;554
chrX,131578709,131578709,promoter-TSS,,ENST00000651362.1,27
chrX,135521623,135521623,promoter-TSS,INTS6L-AS1,ENST00000430820.1,948
