chr,start,end,id,tag_fold_change
chr1,235048331,235048332,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_83,6.17875
chr7,80379301,80379302,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_84,10.60625
chr1,235328393,235328394,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_85,13.5539
chr7,81159575,81159576,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_86,14.54772
chr7,82443456,82443457,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_87,6.77828
chr1,235505578,235505579,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_88,7.6155
chr7,83162792,83162793,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_89,7.26355
chr7,83976432,83976433,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_90,5.3066
chr7,85464410,85464411,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_91,15.49453
chr1,235909215,235909216,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_92,8.69811
chr1,235910898,235910899,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_93,12.22238
chr7,87039756,87039757,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_94,29.27242
chr7,87152841,87152842,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_95,26.05403
chr7,90346729,90346730,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_96,4.69698
chr7,90825236,90825237,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_97,7.96734
chr7,91940882,91940883,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_98,17.69489
chr7,92528813,92528814,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_99,20.29183
chr7,92698470,92698471,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_100,8.28215
chr7,93591744,93591745,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_101,13.49892
chr7,94004378,94004379,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_102,4.40436
chr7,94057072,94057073,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_103,10.54505
chr7,94296028,94296029,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_104,6.6468
chr7,94510094,94510095,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_105,31.68251
chr7,95435021,95435022,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_106,6.96604
chr7,95478967,95478968,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_107,8.93311
chr7,95549910,95549911,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_108,15.27074
chr7,96321968,96321969,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_109,5.77307
chr7,98106876,98106877,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_110,11.33812
chr7,99466224,99466225,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_111,14.77492
chr7,100088991,100088992,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_112,24.08735
chr7,100119359,100119360,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_113,29.08799
chr7,100126963,100126964,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_114,15.10365
chr7,100428394,100428395,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_115,15.098
chr7,100612202,100612203,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_116,5.96688
chr7,100694252,100694253,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_117,26.13136
chr7,100837481,100837482,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_118,36.66713
chr7,100874739,100874740,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_119,14.54165
chr7,101140572,101140573,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_120,5.6529
chr7,101218027,101218028,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_121,21.12329
chr7,101816027,101816028,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_122,19.63748
chr7,101857109,101857110,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_123,4.84722
chr7,102464848,102464849,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_124,12.65486
chr1,28643367,28643368,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_125,7.41294
chr7,102872550,102872551,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_126,9.95109
chr7,103025476,103025477,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_127,8.40506
chr7,103149604,103149605,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_128,48.66445
chr7,103297455,103297456,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_129,17.75438
chr7,104983719,104983720,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_130,13.91255
chr7,105014089,105014090,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_131,34.6408
chr7,105439696,105439697,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_132,10.48516
chr7,105521909,105521910,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_133,7.53446
chr7,105776280,105776281,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_134,5.16529
chr7,105826626,105826627,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_135,7.98625
chr7,106598967,106598968,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_136,26.02962
chr7,106609657,106609658,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_137,17.34378
chr7,106661076,106661077,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_138,29.11742
chr7,106770338,106770339,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_139,5.91582
chr7,107035700,107035701,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_140,9.46162
chr7,107167779,107167780,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_141,17.22915
chr7,107949397,107949398,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_142,7.43334
chr7,112206722,112206723,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_143,23.97852
chr7,112790375,112790376,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_144,23.94228
chr7,113118545,113118546,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_145,19.12682
chr7,113421858,113421859,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_146,5.1528
chr1,240386528,240386529,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_147,8.26841
chr7,114385847,114385848,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_148,22.22066
chr7,116724484,116724485,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_149,9.65369
chr7,116862606,116862607,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_150,11.73904
chr7,116953548,116953549,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_151,9.23173
chr7,117873404,117873405,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_152,9.05616
chr7,120950795,120950796,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_153,18.09231
chr7,121544310,121544311,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_154,6.8885
chr7,123749066,123749067,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_155,23.542
chr7,127253678,127253679,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_156,8.69628
chr7,128343945,128343946,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_157,23.26664
chr7,128796641,128796642,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_158,7.03438
chr7,129054890,129054891,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_159,13.58185
chr7,129271915,129271916,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_160,13.43617
chr7,129489742,129489743,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_161,14.35706
chr7,129611661,129611662,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_162,16.10393
chr7,129831728,129831729,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_163,10.02359
chr7,130051380,130051381,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_164,35.66334
chr7,131188740,131188741,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_165,4.879
chr7,131327902,131327903,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_166,18.86601
chr7,132548653,132548654,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_167,9.19187
chr7,133253105,133253106,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_168,28.34143
chr7,133854971,133854972,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_169,5.09738
chr7,134127354,134127355,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_170,27.87916
chr1,243849152,243849153,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_171,9.13162
chr7,135281688,135281689,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_172,5.85256
chr7,135510065,135510066,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_173,18.95738
chr7,135557955,135557956,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_174,20.40322
chr1,243968705,243968706,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_175,10.22856
chr7,137978556,137978557,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_176,5.9486
chr7,137992912,137992913,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_177,10.15719
chr7,138161763,138161764,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_178,6.30226
chr7,139036029,139036030,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_179,7.21836
chr7,139231274,139231275,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_180,18.68432
chr7,139340201,139340202,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_181,8.86751
chr7,139341386,139341387,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_182,9.4468
chr7,139360268,139360269,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_183,9.56705
chr7,139360903,139360904,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_184,6.92504
chr7,139771666,139771667,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_185,5.80136
chr7,139777700,139777701,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_186,11.87795
chr7,140176950,140176951,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_187,19.16499
chr7,140479356,140479357,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_188,20.35355
chr7,140924707,140924708,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_189,18.10871
chr7,141986134,141986135,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_190,14.43247
chr7,142776412,142776413,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_191,7.29182
chr7,143003608,143003609,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_192,18.18806
chr7,143288461,143288462,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_193,10.82545
chr1,244652925,244652926,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_194,23.53183
chr1,244835560,244835561,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_195,26.37637
chr1,244863383,244863384,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_196,7.95636
chr1,244971072,244971073,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_197,30.52621
chr7,149233792,149233793,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_198,7.20299
chr7,149460591,149460592,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_199,22.02068
chr1,245673258,245673259,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_200,27.45822
chr7,151080792,151080793,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_201,41.80515
chr7,151233245,151233246,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_202,11.33869
chr7,151252115,151252116,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_203,6.71405
chr7,151485590,151485591,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_204,6.72185
chr7,152759635,152759636,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_205,22.5966
chr7,154928526,154928527,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_206,11.63826
chr7,155644678,155644679,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_207,24.40307
chr7,156949723,156949724,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_208,27.22175
chr7,157138963,157138964,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_209,13.01549
chr8,6406668,6406669,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_210,18.9662
chr8,6816449,6816450,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_211,12.08358
chr8,6834765,6834766,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_212,15.82808
chr8,8550216,8550217,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_213,10.79252
chr8,8555815,8555816,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_214,7.14649
chr8,9555938,9555939,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_215,14.15346
chr8,11201597,11201598,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_216,31.28347
chr8,11510337,11510338,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_217,14.41128
chr8,11877181,11877182,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_218,7.74037
chr8,13133242,13133243,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_219,6.4022
chr8,17156731,17156732,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_220,8.40506
chr8,17898546,17898547,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_221,15.24728
chr8,17923001,17923002,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_222,23.07569
chr8,19817263,19817264,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_223,7.62557
chr8,20197416,20197417,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_224,23.28072
chr8,21919775,21919776,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_225,12.01711
chr8,22245108,22245109,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_226,38.12584
chr8,22440845,22440846,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_227,7.92417
chr8,23084409,23084410,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_228,8.26841
chr8,24188549,24188550,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_229,9.18302
chr8,25184828,25184829,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_230,9.29506
chr1,247448209,247448210,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_231,27.36798
chr8,26291530,26291531,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_232,26.61023
chr8,27772684,27772685,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_233,36.14373
chr8,27774315,27774316,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_234,10.68003
chr8,28701527,28701528,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_235,18.84207
chr8,28890386,28890387,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_236,28.79169
chr8,29493875,29493876,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_237,8.83031
chr8,29901568,29901569,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_238,12.0374
chr8,30082964,30082965,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_239,9.349
chr8,30156341,30156342,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_240,9.63787
chr8,30463391,30463392,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_241,9.443
chr8,32546545,32546546,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_242,11.76708
chr8,37143314,37143315,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_243,6.36781
chr8,37762509,37762510,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_244,43.11977
chr10,135334,135335,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_245,14.28613
chr8,38105553,38105554,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_246,19.47199
chr8,38176497,38176498,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_247,19.06292
chr8,38380864,38380865,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_248,7.46255
chr8,38385270,38385271,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_249,11.99041
chr8,38996228,38996229,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_250,6.74478
chr8,39233505,39233506,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_251,10.79391
chr8,42051983,42051984,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_252,36.28371
chr8,42189042,42189043,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_253,6.9772
chr8,42209418,42209419,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_254,7.54351
chr8,42843342,42843343,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_255,31.65702
chr8,43056286,43056287,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_256,14.69595
chr8,43093923,43093924,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_257,35.51924
chr10,1056910,1056911,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_258,5.97163
chr8,48008439,48008440,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_259,17.14464
chr8,48789033,48789034,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_260,9.23742
chr8,51899303,51899304,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_261,7.57626
chr8,52407839,52407840,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_262,8.40506
chr8,54269202,54269203,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_263,16.25884
chr8,56211250,56211251,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_264,7.33071
chr10,3180565,3180566,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_265,28.41761
chr8,58411387,58411388,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_266,16.29366
chr8,58830126,58830127,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_267,11.99041
chr8,61761330,61761331,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_268,6.7634
chr8,62971099,62971100,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_269,11.17009
chr8,63168638,63168639,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_270,14.9861
chr8,65733001,65733002,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_271,10.04935
chr8,66114525,66114526,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_272,7.43141
chr8,67062115,67062116,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_273,22.43481
chr8,67343740,67343741,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_274,20.61849
chr8,70403799,70403800,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_275,11.955260000000001
chr8,73008891,73008892,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_276,22.69946
chr8,73747080,73747081,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_277,20.84785
chr8,73878819,73878820,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_278,14.40322
chr8,74350461,74350462,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_279,10.78538
chr8,75305443,75305444,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_280,6.14855
chr8,75324221,75324222,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_281,34.99705
chr8,76681261,76681262,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_282,13.91744
chr10,4532724,4532725,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_283,13.49169
chr8,80030243,80030244,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_284,30.43235
chr8,81721261,81721262,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_285,17.12783
chr8,82663851,82663852,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_286,8.47993
chr8,89216547,89216548,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_287,7.345
chr8,89612181,89612182,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_288,9.52265
chr8,90671015,90671016,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_289,8.81686
chr8,91180347,91180348,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_290,16.96349
chr10,5412541,5412542,MM1_HSA_SK-N-SH_YY1_peaks_with_motif_291,7.05769
